"Review_ID","Restaurant_ID","Review_Text","Review_Rating"
"1","1","Excellent food and friendly staff. Highly recommend!","4"
"2","1","完美的用餐體驗！每一道菜都令人驚艷。","5"
"3","1","懷石料理每一道都很精緻，視覺與味覺的雙重享受。","4"
"4","1","普通でした。特に印象に残るものはありませんでした。","3"
"5","1","Yakitori was grilled perfectly with great seasoning.","3"
"6","1","料理のクオリティが高く、満足しました。","4"
"7","1","可もなく不可もなく。値段相応かな。","3"
"8","1","Lovely place with a cozy ambiance.","4"
"9","1","壽司超級新鮮，入口即化！","4"
"10","1","豬排外酥內嫩，醬汁也很搭。","3"
"11","1","Great dining experience, will definitely return.","4"
"12","1","Not bad, but there are better options in the area.","3"
"13","1","拉麵湯頭濃郁，是我喝過最好喝的。","3"
"14","1","焼き鳥が絶妙な焼き加減。味付けも最高。","3"
"15","1","可もなく不可もなく。値段相応かな。","3"
"16","1","料理精緻美味，服務貼心周到，值得五顆星！","5"
"17","1","雰囲気が良くて、料理も美味しい。おすすめです。","4"
"18","1","天ぷらがサクサクで、油っぽくない。","4"
"19","1","壽司超級新鮮，入口即化！","4"
"20","1","抹茶甜點超級好吃，不會太甜。","3"
"21","1","食物水準中等，價格還算可以。","3"
"22","1","Beautiful presentation and authentic flavors.","4"
"23","1","とても美味しかったです。また来たいと思います。","4"
"24","1","Lovely place with a cozy ambiance.","4"
"25","1","可以試試看，但不會特別推薦。","3"
"26","1","お寿司が新鮮で、口の中でとろけました！","3"
"27","1","很棒的餐廳！食物美味，環境舒適。","4"
"28","1","料理精緻好吃，服務態度親切，值得推薦。","4"
"29","1","Fair quality, might come back if in the area.","3"
"30","1","お好み焼きが本格的で、具材もたっぷり。","4"
"31","2","Really enjoyed our meal here. Solid choice!","4"
"32","2","料理のクオリティが高く、満足しました。","4"
"33","2","Incredible atmosphere and world-class cuisine.","5"
"34","2","Middle of the road. Nothing to complain about.","3"
"35","2","Great value for money, portions were generous.","4"
"36","2","Not bad, but there are better options in the area.","3"
"37","2","Decent place for a quick meal.","3"
"38","2","The food was fantastic, service was prompt.","4"
"39","2","份量適中，口味中規中矩。","3"
"40","2","日本酒の種類が豊富で、ソムリエの説明も丁寧。","2"
"41","2","Excellent food and friendly staff. Highly recommend!","4"
"42","2","Lovely place with a cozy ambiance.","4"
"43","2","料理精緻好吃，服務態度親切，值得推薦。","4"
"44","2","The food was fantastic, service was prompt.","4"
"45","2","とても美味しかったです。また来たいと思います。","4"
"46","2","可以試試看，但不會特別推薦。","3"
"47","2","Not bad, but there are better options in the area.","3"
"48","2","抹茶デザートが絶品！甘さ控えめで完璧。","3"
"49","2","豬排外酥內嫩，醬汁也很搭。","3"
"50","2","Very good! Just a few minor details could be improved.","4"
"51","2","可もなく不可もなく。値段相応かな。","3"
"52","2","Great dining experience, will definitely return.","4"
"53","2","Beautiful presentation and authentic flavors.","4"
"54","2","可もなく不可もなく。値段相応かな。","3"
"55","2","可もなく不可もなく。値段相応かな。","3"
"56","2","懐石料理の一品一品が芸術品のよう。","4"
"57","2","Middle of the road. Nothing to complain about.","3"
"58","2","Great dining experience, will definitely return.","4"
"59","2","沒有太大驚喜，也沒什麼缺點。","3"
"60","2","串燒烤得恰到好處，調味完美。","3"
"61","3","味は悪くないけど、特別おすすめするほどでもない。","3"
"62","3","完全超出預期，CP值爆表！","5"
"63","3","サービスが悪く、料理も期待以下。","2"
"64","3","Excellent food and friendly staff. Highly recommend!","4"
"65","3","値段に見合った素晴らしい料理でした。","4"
"66","3","Not bad, but there are better options in the area.","3"
"67","3","服務人員很專業，料理水準穩定。","4"
"68","3","Really enjoyed our meal here. Solid choice!","4"
"69","3","Wonderful atmosphere and delicious dishes.","4"
"70","3","清酒種類豐富，侍酒師推薦得很專業。","3"
"71","3","The food was fantastic, service was prompt.","4"
"72","3","Excellent food and friendly staff. Highly recommend!","4"
"73","3","新鮮な食材を使った本格的な味。","4"
"74","3","完璧な料理と素晴らしいサービス。京都で一番好きなお店です。","5"
"75","3","Really enjoyed our meal here. Solid choice!","4"
"76","3","太棒了！強烈推薦給所有來京都的朋友。","5"
"77","3","普通的餐廳，沒有特別驚艷。","3"
"78","3","日本酒の種類が豊富で、ソムリエの説明も丁寧。","3"
"79","3","和牛品質極佳，口感軟嫩多汁。","3"
"80","3","京都第一名餐廳！必須二訪三訪。","5"
"81","3","Very good! Just a few minor details could be improved.","4"
"82","3","Yakitori was grilled perfectly with great seasoning.","4"
"83","3","可以試試看，但不會特別推薦。","3"
"84","3","料理のクオリティが高く、満足しました。","4"
"85","3","Not bad, but there are better options in the area.","3"
"86","3","可以試試看，但不會特別推薦。","3"
"87","3","Fair quality, might come back if in the area.","3"
"88","3","Service was a bit slow, but food was acceptable.","3"
"89","3","値段に見合った素晴らしい料理でした。","4"
"90","3","份量適中，口味中規中矩。","3"
"91","4","普通的餐廳，沒有特別驚艷。","3"
"92","4","サービスが悪く、料理も期待以下。","2"
"93","4","氣氛很棒，料理也很有特色。","4"
"94","4","Not bad, but there are better options in the area.","3"
"95","4","The sushi was incredibly fresh and melted in my mouth!","3"
"96","4","サービスも丁寧で、居心地が良かったです。","4"
"97","4","Yakitori was grilled perfectly with great seasoning.","4"
"98","4","環境優雅，適合朋友聚餐或約會。","4"
"99","4","Not bad, but there are better options in the area.","3"
"100","4","The sushi was incredibly fresh and melted in my mouth!","4"
"101","4","Great dining experience, will definitely return.","4"
"102","4","沒有太大驚喜，也沒什麼缺點。","3"
"103","4","氣氛很棒，料理也很有特色。","4"
"104","4","まあまあですね。期待していたほどではなかった。","3"
"105","4","The tempura was crispy and not oily at all.","3"
"106","4","Wonderful atmosphere and delicious dishes.","4"
"107","4","お寿司が新鮮で、口の中でとろけました！","3"
"108","4","Really enjoyed our meal here. Solid choice!","4"
"109","4","Decent place for a quick meal.","3"
"110","4","言葉にできないほど美味しかった！感動しました。","5"
"111","4","大阪燒很道地，料很多很實在。","5"
"112","4","Not bad, but there are better options in the area.","3"
"113","4","Not bad, but there are better options in the area.","3"
"114","4","拉麵湯頭濃郁，是我喝過最好喝的。","4"
"115","4","品質很好，價格合理，CP值高。","4"
"116","4","環境還不錯，但料理表現普通。","3"
"117","4","Lovely place with a cozy ambiance.","4"
"118","4","Not bad, but there are better options in the area.","3"
"119","4","很棒的餐廳！食物美味，環境舒適。","4"
"120","4","拉麵湯頭濃郁，是我喝過最好喝的。","3"
"121","5","The matcha dessert was heavenly!","3"
"122","5","普通でした。特に印象に残るものはありませんでした。","3"
"123","5","Excellent food and friendly staff. Highly recommend!","4"
"124","5","Really enjoyed our meal here. Solid choice!","4"
"125","5","The food was fantastic, service was prompt.","4"
"126","5","Not bad, but there are better options in the area.","3"
"127","5","可以試試看，但不會特別推薦。","3"
"128","5","The chef is a true artist. Every dish was a masterpiece.","5"
"129","5","食物水準中等，價格還算可以。","3"
"130","5","份量適中，口味中規中矩。","3"
"131","5","普通的餐廳，沒有特別驚艷。","3"
"132","5","份量很少，口味也很普通。","2"
"133","5","份量適中，口味中規中矩。","3"
"134","5","環境吵雜，用餐體驗不太好。","2"
"135","5","份量適中，口味中規中矩。","3"
"136","5","お好み焼きが本格的で、具材もたっぷり。","3"
"137","5","値段に見合った素晴らしい料理でした。","4"
"138","5","雰囲気が良くて、料理も美味しい。おすすめです。","4"
"139","5","味は悪くないけど、特別おすすめするほどでもない。","3"
"140","5","The okonomiyaki was authentic and delicious.","3"
"141","5","Yakitori was grilled perfectly with great seasoning.","4"
"142","5","可もなく不可もなく。値段相応かな。","3"
"143","5","懷石料理每一道都很精緻，視覺與味覺的雙重享受。","3"
"144","5","Tonkatsu was crispy outside, juicy inside.","3"
"145","5","Really enjoyed our meal here. Solid choice!","4"
"146","5","The food was fantastic, service was prompt.","4"
"147","5","份量適中，口味中規中矩。","3"
"148","5","環境優雅，適合朋友聚餐或約會。","4"
"149","5","服務還可以，食物表現平平。","3"
"150","5","The food was fantastic, service was prompt.","4"
"151","6","Service was a bit slow, but food was acceptable.","3"
"152","6","服務人員很專業，料理水準穩定。","4"
"153","6","氣氛很棒，料理也很有特色。","4"
"154","6","Fair quality, might come back if in the area.","3"
"155","6","Lovely place with a cozy ambiance.","4"
"156","6","品質很好，價格合理，CP值高。","4"
"157","6","値段に見合った素晴らしい料理でした。","4"
"158","6","沒有太大驚喜，也沒什麼缺點。","3"
"159","6","It was okay. Nothing particularly memorable.","3"
"160","6","Service was a bit slow, but food was acceptable.","3"
"161","6","Really enjoyed our meal here. Solid choice!","4"
"162","6","Decent place for a quick meal.","3"
"163","6","Impressive quality and presentation.","4"
"164","6","可以試試看，但不會特別推薦。","3"
"165","6","Perfection! From the food to the service, everything was flawless.","5"
"166","6","可もなく不可もなく。値段相応かな。","3"
"167","6","有點失望，CP值不高。","2"
"168","6","串燒烤得恰到好處，調味完美。","4"
"169","6","まあまあですね。期待していたほどではなかった。","3"
"170","6","品質很好，價格合理，CP值高。","4"
"171","6","無可挑剔！服務、環境、食物都是一流水準。","5"
"172","6","天ぷらがサクサクで、油っぽくない。","3"
"173","6","Beautiful presentation and authentic flavors.","4"
"174","6","The sushi was incredibly fresh and melted in my mouth!","3"
"175","6","品質很好，價格合理，CP值高。","4"
"176","6","Great dining experience, will definitely return.","4"
"177","6","串燒烤得恰到好處，調味完美。","3"
"178","6","普通の居酒屋。次はないかも。","3"
"179","6","環境優雅，適合朋友聚餐或約會。","4"
"180","6","Decent place for a quick meal.","3"
"181","7","普通でした。特に印象に残るものはありませんでした。","3"
"182","7","Lovely place with a cozy ambiance.","4"
"183","7","懐石料理の一品一品が芸術品のよう。","4"
"184","7","服務人員很專業，料理水準穩定。","4"
"185","7","壽司超級新鮮，入口即化！","3"
"186","7","服務人員很專業，料理水準穩定。","4"
"187","7","Beyond expectations! Worth every penny.","5"
"188","7","環境優雅，適合朋友聚餐或約會。","4"
"189","7","普通でした。特に印象に残るものはありませんでした。","3"
"190","7","まあまあですね。期待していたほどではなかった。","3"
"191","7","サービスも丁寧で、居心地が良かったです。","4"
"192","7","懐石料理の一品一品が芸術品のよう。","3"
"193","7","日本酒の種類が豊富で、ソムリエの説明も丁寧。","4"
"194","7","Fair quality, might come back if in the area.","3"
"195","7","Very good! Just a few minor details could be improved.","4"
"196","7","Beautiful presentation and authentic flavors.","4"
"197","7","まあまあですね。期待していたほどではなかった。","3"
"198","7","食物水準中等，價格還算可以。","3"
"199","7","Middle of the road. Nothing to complain about.","3"
"200","7","壽司超級新鮮，入口即化！","4"
"201","7","Wonderful atmosphere and delicious dishes.","4"
"202","7","Decent place for a quick meal.","3"
"203","7","完璧な料理と素晴らしいサービス。京都で一番好きなお店です。","5"
"204","7","新鮮な食材を使った本格的な味。","4"
"205","7","サービスも丁寧で、居心地が良かったです。","4"
"206","7","份量適中，口味中規中矩。","3"
"207","7","Middle of the road. Nothing to complain about.","3"
"208","7","Beautiful presentation and authentic flavors.","4"
"209","7","Decent place for a quick meal.","3"
"210","7","雰囲気も味も最高！特別な日にぴったりです。","5"
"211","8","Not bad, but there are better options in the area.","3"
"212","8","Impressive quality and presentation.","4"
"213","8","食材新鮮，口味道地，很滿意。","4"
"214","8","味は悪くないけど、特別おすすめするほどでもない。","3"
"215","8","和牛のクオリティが素晴らしい。柔らかくてジューシー。","4"
"216","8","服務還可以，食物表現平平。","3"
"217","8","新鮮な食材を使った本格的な味。","4"
"218","8","可もなく不可もなく。値段相応かな。","3"
"219","8","Great dining experience, will definitely return.","4"
"220","8","天婦羅炸得剛剛好，完全不油膩。","3"
"221","8","最高の体験でした！また絶対に来ます。","5"
"222","8","新鮮な食材を使った本格的な味。","4"
"223","8","份量適中，口味中規中矩。","3"
"224","8","The okonomiyaki was authentic and delicious.","3"
"225","8","Very good! Just a few minor details could be improved.","4"
"226","8","Decent place for a quick meal.","3"
"227","8","環境優雅，適合朋友聚餐或約會。","4"
"228","8","沒有太大驚喜，也沒什麼缺點。","3"
"229","8","有點失望，CP值不高。","2"
"230","8","Middle of the road. Nothing to complain about.","3"
"231","8","串燒烤得恰到好處，調味完美。","5"
"232","8","環境優雅，適合朋友聚餐或約會。","4"
