Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,DinnerPrice,LunchPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,Review_Text,Review_Rating
1,Orudeidainingurajou  ,オールデイダイニング　ラジョウ,Kyoto,Buffet style,Cafe,￥4000～￥4999,￥2000～￥2999,3.39,3.2,3.38,56,34.9861751483108,135.761313932311,"The food was alright, reasonably priced. | Outstanding in every way. The attention to detail is remarkable. | 抹茶デザートが絶品！甘さ控えめで完璧。 | 食物水準中等，價格還算可以。 | 可以試試看，但不會特別推薦。 | The food was alright, reasonably priced. | 份量很少，口味也很普通。 | The food was fantastic, service was prompt. | 新鮮な食材を使った本格的な味。 | 可もなく不可もなく。値段相応かな。 | Impressive quality and presentation. | 很棒的餐廳！食物美味，環境舒適。 | 普通の居酒屋。次はないかも。 | 環境優雅，適合朋友聚餐或約會。 | Decent place for a quick meal. | Excellent food and friendly staff. Highly recommend! | Service was a bit slow, but food was acceptable. | 懐石料理の一品一品が芸術品のよう。 | Excellent food and friendly staff. Highly recommend! | 雰囲気が良くて、料理も美味しい。おすすめです。 | 可以試試看，但不會特別推薦。 | The okonomiyaki was authentic and delicious. | 食物水準中等，價格還算可以。 | Decent place for a quick meal. | Middle of the road. Nothing to complain about. | 份量適中，口味中規中矩。 | 份量適中，口味中規中矩。 | 食材新鮮，口味道地，很滿意。 | Fair quality, might come back if in the area. | Excellent food and friendly staff. Highly recommend!",3.466666666666667
2,Steak Frites Gaspard zinzin  ,ステックフリット ガスパール ザンザン,Karasuma,Bistro,Steak,￥3000～￥3999,￥1000～￥1999,3.18,3.06,3.33,70,35.0058257987896,135.759856759688,"Absolutely phenomenal! One of the best meals I've ever had. | The food was alright, reasonably priced. | Middle of the road. Nothing to complain about. | 期待落空，可能不會再來了。 | 懐石料理の一品一品が芸術品のよう。 | Great value for money, portions were generous. | 沒有太大驚喜，也沒什麼缺點。 | It was okay. Nothing particularly memorable. | Not bad, but there are better options in the area. | Not worth the hype. Quality was below average. | 新鮮な食材を使った本格的な味。 | 服務人員很專業，料理水準穩定。 | 食物水準中等，價格還算可以。 | 環境優雅，適合朋友聚餐或約會。 | 拉麵湯頭濃郁，是我喝過最好喝的。 | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | Not bad, but there are better options in the area. | Great dining experience, will definitely return. | Average experience, food was decent but not exceptional. | Best ramen I've had in Japan. The broth was perfect. | It was okay. Nothing particularly memorable. | 環境優雅，適合朋友聚餐或約會。 | Not bad, but there are better options in the area. | 値段に見合った素晴らしい料理でした。 | 値段に見合った素晴らしい料理でした。 | 壽司超級新鮮，入口即化！ | 沒有太大驚喜，也沒什麼缺點。 | 懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | This place deserves all the praise. Simply exceptional! | This place deserves all the praise. Simply exceptional!",3.533333333333333
3,KAZUMA  ,和馬,Sanjo,Izakaya (Tavern),Japanese food (other),￥3000～￥3999,,3.28,3.28,,7,35.0065825659963,135.770246695295,"期待落空，可能不會再來了。 | Not bad, but there are better options in the area. | 雰囲気も味も最高！特別な日にぴったりです。 | 味は悪くないけど、特別おすすめするほどでもない。 | Had better meals elsewhere for less money. | 値段に見合った素晴らしい料理でした。 | Wonderful atmosphere and delicious dishes. | 天婦羅炸得剛剛好，完全不油膩。 | 食材新鮮，口味道地，很滿意。 | 服務還可以，食物表現平平。 | まあまあですね。期待していたほどではなかった。 | Middle of the road. Nothing to complain about. | Beyond expectations! Worth every penny. | とても美味しかったです。また来たいと思います。 | 完璧な料理と素晴らしいサービス。京都で一番好きなお店です。 | Great sake selection, staff helped us choose perfectly. | Decent place for a quick meal. | 最高の体験でした！また絶対に来ます。 | Tonkatsu was crispy outside, juicy inside. | 和牛品質極佳，口感軟嫩多汁。 | 可以試試看，但不會特別推薦。 | The kaiseki course was a work of art. | お寿司が新鮮で、口の中でとろけました！ | 普通的餐廳，沒有特別驚艷。 | Middle of the road. Nothing to complain about. | 言葉にできないほど美味しかった！感動しました。 | 雰囲気が良くて、料理も美味しい。おすすめです。 | 普通の居酒屋。次はないかも。 | 環境優雅，適合朋友聚餐或約會。 | 最高の体験でした！また絶対に来ます。",3.6
4,okonomiyakiteppanyakimiki  ,お好み焼き 鉄板焼き 三喜,Tambaguchi,Okonomiyaki,Izakaya (Tavern),￥3000～￥3999,,3.14,3.14,,16,34.9959244331732,135.748266511467,"The portions were tiny for the price. | Very good! Just a few minor details could be improved. | 普通でした。特に印象に残るものはありませんでした。 | 可以試試看，但不會特別推薦。 | 豬排外酥內嫩，醬汁也很搭。 | Great value for money, portions were generous. | The food was fantastic, service was prompt. | コストパフォーマンスが悪い。 | 普通でした。特に印象に残るものはありませんでした。 | 服務還可以，食物表現平平。 | とても美味しかったです。また来たいと思います。 | 服務還可以，食物表現平平。 | Very good! Just a few minor details could be improved. | Wonderful atmosphere and delicious dishes. | 服務還可以，食物表現平平。 | 從裝潢到料理都無懈可擊，讚不絕口。 | Amazing wagyu beef, cooked to perfection. | 雰囲気も味も最高！特別な日にぴったりです。 | 普通でした。特に印象に残るものはありませんでした。 | The food was alright, reasonably priced. | 普通の居酒屋。次はないかも。 | Perfection! From the food to the service, everything was flawless. | 整體表現優秀，會想再來光顧。 | Great dining experience, will definitely return. | 氣氛很棒，料理也很有特色。 | Yakitori was grilled perfectly with great seasoning. | Best ramen I've had in Japan. The broth was perfect. | 大阪燒很道地，料很多很實在。 | The tempura was crispy and not oily at all. | 太棒了！強烈推薦給所有來京都的朋友。",3.6
5,Shaofeiyan  ,小肥羊 京都河原町店,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,￥4000～￥4999,￥1000～￥1999,3.16,3.16,3.05,23,35.00790072262,135.768201804433,"The food was fantastic, service was prompt. | 和牛品質極佳，口感軟嫩多汁。 | The kaiseki course was a work of art. | 普通の居酒屋。次はないかも。 | 串燒烤得恰到好處，調味完美。 | 拉麵湯頭濃郁，是我喝過最好喝的。 | Absolutely phenomenal! One of the best meals I've ever had. | 沒有太大驚喜，也沒什麼缺點。 | Average experience, food was decent but not exceptional. | サービスが悪く、料理も期待以下。 | Outstanding in every way. The attention to detail is remarkable. | The matcha dessert was heavenly! | Very good! Just a few minor details could be improved. | 天婦羅炸得剛剛好，完全不油膩。 | 値段に見合った素晴らしい料理でした。 | Impressive quality and presentation. | 雰囲気が良くて、料理も美味しい。おすすめです。 | 食物水準中等，價格還算可以。 | 懐石料理の一品一品が芸術品のよう。 | Beautiful presentation and authentic flavors. | The food was alright, reasonably priced. | Best ramen I've had in Japan. The broth was perfect. | 無可挑剔！服務、環境、食物都是一流水準。 | 份量適中，口味中規中矩。 | The food was alright, reasonably priced. | 懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | 份量適中，口味中規中矩。 | Not bad, but there are better options in the area. | とんかつが外はサクサク、中はジューシー。 | 新鮮な食材を使った本格的な味。",3.5
6,okuta-va  ,OCTAVAR,Kyoto,Bar,Italian,￥4000～￥4999,￥1000～￥1999,3.08,3.0,3.11,24,34.9834970882448,135.760559396056,"This place deserves all the praise. Simply exceptional! | 新鮮な食材を使った本格的な味。 | Excellent food and friendly staff. Highly recommend! | It was okay. Nothing particularly memorable. | Middle of the road. Nothing to complain about. | Decent place for a quick meal. | Beautiful presentation and authentic flavors. | 品質很好，價格合理，CP值高。 | 天婦羅炸得剛剛好，完全不油膩。 | It was okay. Nothing particularly memorable. | The matcha dessert was heavenly! | 可以試試看，但不會特別推薦。 | 値段に見合った素晴らしい料理でした。 | 清酒種類豐富，侍酒師推薦得很專業。 | Perfection! From the food to the service, everything was flawless. | 環境還不錯，但料理表現普通。 | 食材新鮮，口味道地，很滿意。 | 超越期待！這是我在京都吃過最好的餐廳。 | サービスが悪く、料理も期待以下。 | お好み焼きが本格的で、具材もたっぷり。 | 普通的餐廳，沒有特別驚艷。 | 服務態度需要改進，等待時間太長。 | This place deserves all the praise. Simply exceptional! | Best ramen I've had in Japan. The broth was perfect. | 普通でした。特に印象に残るものはありませんでした。 | 沒有太大驚喜，也沒什麼缺點。 | 很棒的餐廳！食物美味，環境舒適。 | 言葉にできないほど美味しかった！感動しました。 | Beautiful presentation and authentic flavors. | Fair quality, might come back if in the area.",3.566666666666667
7,Resort dining&bar HaLe  ,Resort dining&bar HaLe 河原町店,Sanjo,Italian,Bar,￥3000～￥3999,￥1000～￥1999,3.04,3.05,3.0,22,35.0071947091437,135.769468120661,"Tonkatsu was crispy outside, juicy inside. | お好み焼きが本格的で、具材もたっぷり。 | 份量很少，口味也很普通。 | 素晴らしい！職人の技術が光る一品一品。 | 懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | 整體表現優秀，會想再來光顧。 | 整體表現優秀，會想再來光顧。 | もう二度と来ないと思います。 | Great dining experience, will definitely return. | 値段に見合った素晴らしい料理でした。 | The okonomiyaki was authentic and delicious. | 料理精緻好吃，服務態度親切，值得推薦。 | 超越期待！這是我在京都吃過最好的餐廳。 | 食物水準中等，價格還算可以。 | とても美味しかったです。また来たいと思います。 | Not bad, but there are better options in the area. | Service was a bit slow, but food was acceptable. | Great dining experience, will definitely return. | 普通的餐廳，沒有特別驚艷。 | 環境優雅，適合朋友聚餐或約會。 | 天ぷらがサクサクで、油っぽくない。 | Middle of the road. Nothing to complain about. | 份量適中，口味中規中矩。 | 新鮮な食材を使った本格的な味。 | 食物水準中等，價格還算可以。 | 從裝潢到料理都無懈可擊，讚不絕口。 | 環境優雅，適合朋友聚餐或約會。 | 懐石料理の一品一品が芸術品のよう。 | 整體表現優秀，會想再來光顧。 | Not bad, but there are better options in the area.",3.6333333333333333
8,Sumika  ,棲家,Kawaramachi,Izakaya (Tavern),Creative cuisine,￥3000～￥3999,,3.34,3.34,,23,35.0047040863454,135.770182117381,"普通的餐廳，沒有特別驚艷。 | 京都に来たら必ず訪れるべきお店。強くおすすめします！ | お寿司が新鮮で、口の中でとろけました！ | 値段に見合った素晴らしい料理でした。 | Yakitori was grilled perfectly with great seasoning. | The matcha dessert was heavenly! | The chef is a true artist. Every dish was a masterpiece. | It was okay. Nothing particularly memorable. | サービスも丁寧で、居心地が良かったです。 | Average experience, food was decent but not exceptional. | 份量很少，口味也很普通。 | The sushi was incredibly fresh and melted in my mouth! | 普通的餐廳，沒有特別驚艷。 | The matcha dessert was heavenly! | 串燒烤得恰到好處，調味完美。 | まあまあですね。期待していたほどではなかった。 | Not bad, but there are better options in the area. | It was okay. Nothing particularly memorable. | 整體表現優秀，會想再來光顧。 | Really enjoyed our meal here. Solid choice! | The food was fantastic, service was prompt. | 素晴らしい！職人の技術が光る一品一品。 | Best ramen I've had in Japan. The broth was perfect. | The tempura was crispy and not oily at all. | 普通でした。特に印象に残るものはありませんでした。 | まあまあですね。期待していたほどではなかった。 | 懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | 味は悪くないけど、特別おすすめするほどでもない。 | 沒有太大驚喜，也沒什麼缺點。 | 壽司超級新鮮，入口即化！",3.433333333333333
9,Gayagaya  ,我家我家,Sanjo,Izakaya (Tavern),Bar,￥3000～￥3999,,3.03,3.04,,3,35.0071741645137,135.76996780233,"很棒的餐廳！食物美味，環境舒適。 | Beautiful presentation and authentic flavors. | 環境還不錯，但料理表現普通。 | 服務人員很專業，料理水準穩定。 | 和牛品質極佳，口感軟嫩多汁。 | 普通的餐廳，沒有特別驚艷。 | Had better meals elsewhere for less money. | 環境優雅，適合朋友聚餐或約會。 | お好み焼きが本格的で、具材もたっぷり。 | The okonomiyaki was authentic and delicious. | The matcha dessert was heavenly! | The kaiseki course was a work of art. | 可もなく不可もなく。値段相応かな。 | とんかつが外はサクサク、中はジューシー。 | 大阪燒很道地，料很多很實在。 | 服務人員很專業，料理水準穩定。 | 環境還不錯，但料理表現普通。 | 普通の居酒屋。次はないかも。 | 環境還不錯，但料理表現普通。 | Average experience, food was decent but not exceptional. | The food was fantastic, service was prompt. | 清酒種類豐富，侍酒師推薦得很專業。 | The okonomiyaki was authentic and delicious. | 普通でした。特に印象に残るものはありませんでした。 | 和牛のクオリティが素晴らしい。柔らかくてジューシー。 | 沒有太大驚喜，也沒什麼缺點。 | 環境吵雜，用餐體驗不太好。 | 大阪燒很道地，料很多很實在。 | 沒有太大驚喜，也沒什麼缺點。 | 份量適中，口味中規中矩。",3.3333333333333335
10,Ishibekoujimamecha  ,石塀小路 豆ちゃ 京都,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,￥4000～￥4999,,3.56,3.56,,92,35.0008130609394,135.779155387735,"Very good! Just a few minor details could be improved. | お寿司が新鮮で、口の中でとろけました！ | 焼き鳥が絶妙な焼き加減。味付けも最高。 | Perfection! From the food to the service, everything was flawless. | 料理のクオリティが高く、満足しました。 | Best ramen I've had in Japan. The broth was perfect. | Not bad, but there are better options in the area. | 天ぷらがサクサクで、油っぽくない。 | Great value for money, portions were generous. | 氣氛很棒，料理也很有特色。 | 豬排外酥內嫩，醬汁也很搭。 | The chef is a true artist. Every dish was a masterpiece. | 普通の居酒屋。次はないかも。 | まあまあですね。期待していたほどではなかった。 | 値段に見合った素晴らしい料理でした。 | Incredible atmosphere and world-class cuisine. | Lovely place with a cozy ambiance. | 抹茶甜點超級好吃，不會太甜。 | 料理のクオリティが高く、満足しました。 | 很棒的餐廳！食物美味，環境舒適。 | 料理のクオリティが高く、満足しました。 | 料理のクオリティが高く、満足しました。 | 可もなく不可もなく。値段相応かな。 | Five stars aren't enough for this place! | Excellent food and friendly staff. Highly recommend! | The food was fantastic, service was prompt. | 抹茶デザートが絶品！甘さ控えめで完璧。 | Beautiful presentation and authentic flavors. | 整體表現優秀，會想再來光顧。 | とても美味しかったです。また来たいと思います。",4.0
